xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40051|union|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40665|police|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40060|disability|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40497|phone|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40179|disability|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40370|aviation|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40502|aviation|None

xml/debates2010-05-18a.xml|uk.org.publicwhip/member/40646|phone|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40051|union|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40665|police|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40060|disability|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40497|phone|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40179|disability|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40370|aviation|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40502|aviation|None

xml/debates2010-05-18b.xml|uk.org.publicwhip/member/40646|phone|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40051|union|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40665|police|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40060|disability|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40497|phone|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40179|disability|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40370|aviation|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40502|aviation|None

xml/debates2010-05-19a.xml|uk.org.publicwhip/member/40646|phone|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40051|union|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40665|police|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40060|disability|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40497|phone|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40179|disability|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40370|aviation|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40502|aviation|None

xml/debates2010-05-20a.xml|uk.org.publicwhip/member/40646|phone|None

xml/debates2010-05-20b.xml|uk.org.publicwhip/member/40051|union|None

xml/debates2010-05-20b.xml|uk.org.publicwhip/member/40665|police|None

xml/debates2010-05-20b.xml|uk.org.publicwhip/member/40060|disability|None

xml/debates2010-05-20b.xml|uk.org.publicwhip/member/40497|phone|None

xml/debates2010-05-20b.xml|uk.org.publicwhip/member/40179|disability|None

